Award_ID,Contract_Number,Award_Date,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Vendor_Name,Vendor_UEI,Vendor_Size,Socioeconomic_Category,Category,NAICS_Code,NAICS_Description,PSC_Code,Contract_Type,Competition_Type,Set_Aside_Type,Number_of_Offers_Received,Award_Amount,Period_of_Performance_Start,Period_of_Performance_End,Period_of_Performance_Months
AWD-001963,36C181977Y234,2020-02-25,2020,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 5,Summit Federal Services,E925T9NY7VB8,Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),2,1518475.83,2020-03-19,2020-09-17,6
AWD-001964,36C187960U599,2019-11-24,2020,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 16,Precision Partners,UXV3FCGS28CL,Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,IDIQ,Sole Source,Full and Open (No Set-Aside),1,167567.42,2019-12-19,2022-12-17,36
AWD-001965,36C125153M805,2022-09-05,2022,12,VISN 12 Medical Center Main,SAO West,Vertex Federal Services,ETJELDTM6RLJ,Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,898979.9,2022-09-29,2023-09-28,12
AWD-001966,36C073040D723,2026-05-31,2026,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 10,Guardian Industries,KE2EK64PCS9F,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D302,IDIQ,Limited Competition,Full and Open (No Set-Aside),1,1938482.64,2026-06-23,2026-12-22,6
AWD-001967,36C122505D890,2022-04-25,2022,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 15,Meridian Associates,KYEUKJAYYMPX,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,IDIQ,Full and Open,Full and Open (No Set-Aside),4,237375.3,2022-05-06,2023-05-05,12
AWD-001968,36C165924B859,2022-06-09,2022,16,VISN 16 Medical Center Main,SAO East,Apex Industries,F275LBDXTTWY,Small Business,SDVOSB,Food Service,722320,Caterers,F002,Cost Plus Fixed Fee,Set-Aside,SDVOSB,2,878388.04,2022-06-12,2024-06-10,24
AWD-001969,36C104433S197,2024-01-01,2024,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 14,Atlas Group,YFETJ2JCTEWN,Other Than Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),3,2469970.18,2024-01-13,2025-01-11,12
AWD-001970,36C035948K884,2025-10-04,2026,3,VISN 3 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Pinnacle Associates,KMGDNRG673DK,Other Than Small Business,N/A,Transportation,485991,Special Needs Transportation,V119,Time and Materials,Full and Open,Full and Open (No Set-Aside),2,4743316.49,2025-10-27,2026-10-26,12
AWD-001971,36C022824B793,2023-10-12,2024,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 18,Pinnacle Consulting,BTK6XJW9UV3C,Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,Firm Fixed Price,Set-Aside,Small Business,6,287692.31,2023-10-12,2024-10-10,12
AWD-001972,36C049323D624,2020-11-13,2021,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 14,Frontier LLC,LPFETKJA9QWY,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,232717.68,2020-12-04,2024-12-02,48
AWD-001973,36C022289D740,2023-12-24,2024,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 11,Beacon Technologies,ZQ4TVR39AT4D,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6520,Firm Fixed Price,Set-Aside,Small Business,6,98020.28,2024-01-02,2024-12-31,12
AWD-001974,36C137136I523,2022-12-10,2023,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 7,Horizon Group,6LSX45LG4QFF,Small Business,SDVOSB,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Set-Aside,SDVOSB,1,24305.31,2022-12-17,2027-12-15,60
AWD-001975,36C174914O745,2024-01-06,2024,17,VISN 17 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Meridian LLC,Y3P8NAUWVYJV,Small Business,SDVOSB,Medical/Clinical Services,621399,Offices of Health Practitioners,Q401,IDIQ,Set-Aside,SDVOSB,4,181076.6,2024-01-06,2026-01-04,24
AWD-001976,36C102132X757,2019-06-23,2019,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 18,Frontier Technologies,JCFAYNLSDK2J,Small Business,SDVOSB,IT Services,541519,Other Computer Related Services,D307,Cost Plus Fixed Fee,Set-Aside,SDVOSB,3,115420.76,2019-07-10,2023-07-08,48
AWD-001977,36C086992U986,2022-12-15,2023,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 4,Precision Inc.,VGG4ZC4UWDE7,Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6508,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),2,135990.18,2022-12-22,2024-12-20,24
AWD-001978,36C138351P238,2025-11-23,2026,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 4,Unity Federal Services,6MWMCRSSJSQA,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D307,Cost Plus Fixed Fee,Set-Aside,Full and Open (No Set-Aside),2,46500.69,2025-11-24,2026-11-23,12
AWD-001979,36C046545Q496,2023-11-17,2024,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 17,Atlas Solutions,67CZH5ZSFJUF,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D302,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),8,178848.52,2023-11-22,2024-11-20,12
AWD-001980,36C175061F542,2022-01-29,2022,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 3,Meridian Inc.,TLVSYXW7JLZL,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Labor Hour,Full and Open,Full and Open (No Set-Aside),5,1141984.03,2022-02-08,2024-02-07,24
AWD-001981,36C044008Q247,2026-03-04,2026,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 7,Liberty Consulting,E2WYQCKKB5KV,Small Business,SDVOSB,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Cost Plus Fixed Fee,Set-Aside,SDVOSB,8,372972.34,2026-03-06,2029-03-04,36
AWD-001982,36C181164J266,2019-08-23,2019,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 8,Patriot Technologies,43554DRF8TTS,Small Business,SDVOSB,Medical/Clinical Services,621111,Offices of Physicians,Q201,Blanket Purchase Agreement (BPA),Set-Aside,SDVOSB,3,141159.0,2019-08-31,2021-08-29,24
AWD-001983,36C104719J424,2019-11-04,2020,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 6,Meridian Technologies,CBVGXAT9L5VL,Small Business,SDVOSB,Facilities Management,561210,Facilities Support Services,S214,Firm Fixed Price,Set-Aside,SDVOSB,2,114348.89,2019-11-24,2020-11-22,12
AWD-001984,36C041089W514,2026-02-24,2026,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 11,Legacy Group,S5QJN5SX4TGT,Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,2806246.37,2026-03-21,2028-03-19,24
AWD-001985,36C188822C717,2023-07-22,2023,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 17,Vertex Solutions,9MV3S2NZ4SWF,Other Than Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q301,Time and Materials,Sole Source,Full and Open (No Set-Aside),1,1305185.62,2023-07-31,2024-01-29,6
AWD-001986,36C092361J127,2023-01-28,2023,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 15,Vertex Associates,ADXGA7X6UVCW,Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,211882.77,2023-02-13,2024-02-12,12
AWD-001987,36C066738H369,2024-10-02,2025,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 12,Beacon Inc.,ZPCM5Z48Y2HQ,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,699053.79,2024-10-24,2025-10-23,12
AWD-001988,36C156159B808,2020-10-17,2021,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 16,Anchor Partners,A5VDQEE9H5E3,Small Business,SDVOSB,Professional Services,541611,Administrative Management Consulting,R425,Firm Fixed Price,Set-Aside,SDVOSB,3,110119.89,2020-11-10,2023-11-09,36
AWD-001989,36C162195X371,2019-05-08,2019,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 15,Patriot Associates,QX726MD7WWJB,Small Business,SDVOSB,Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Firm Fixed Price,Set-Aside,SDVOSB,6,979370.01,2019-05-18,2021-05-16,24
AWD-001990,36C111449Z657,2020-08-07,2020,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 16,Sterling Inc.,M475LHXZR3US,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Time and Materials,Set-Aside,Full and Open (No Set-Aside),1,86426.23,2020-08-29,2021-08-28,12
AWD-001991,36C072699K619,2025-10-24,2026,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 10,Keystone Partners,VY4QYRYSPANA,Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Time and Materials,Full and Open,Full and Open (No Set-Aside),2,128215.88,2025-11-04,2028-11-02,36
AWD-001992,36C068083B404,2023-11-30,2024,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 10,Cornerstone Solutions,3RJQPZKX3QHY,Small Business,WOSB,Medical/Clinical Services,621111,Offices of Physicians,Q301,Firm Fixed Price,Set-Aside,WOSB,2,156661.87,2023-12-27,2024-12-25,12
AWD-001993,36C189480A772,2019-05-23,2019,18,VISN 18 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,Sterling LLC,4LZ5RVTFN2QJ,Small Business,SDVOSB,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Firm Fixed Price,Set-Aside,SDVOSB,2,171211.44,2019-06-14,2021-06-12,24
AWD-001994,36C137339C556,2020-06-01,2020,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 3,Keystone Industries,LLU29K2BAJE5,Small Business,HUBZone,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,IDIQ,Set-Aside,HUBZone,6,18805464.28,2020-06-25,2023-06-24,36
AWD-001995,36C011254I678,2019-10-03,2020,1,VISN 1 Medical Center Main,Network Contracting Office (NCO) 14,Anchor Technologies,UL2K4UNLQJNB,Small Business,SDVOSB,Security Services,561612,Security Guards and Patrol Services,S206,IDIQ,Set-Aside,SDVOSB,4,291677.12,2019-10-20,2022-10-18,36
AWD-001996,36C186710A244,2021-08-24,2021,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 3,Unity Enterprises,TRFGDFRHX7L4,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Time and Materials,Full and Open,Full and Open (No Set-Aside),2,161607.9,2021-09-12,2022-09-11,12
AWD-001997,36C057789O287,2026-03-27,2026,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 13,Guardian Associates,RAJU3BG8L4MP,Small Business,VOSB,Professional Services,541611,Administrative Management Consulting,R408,Firm Fixed Price,Set-Aside,VOSB,7,815017.99,2026-04-19,2027-04-18,12
AWD-001998,36C098348R119,2023-02-09,2023,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 8,Atlas Partners,K6AU3F8YMQ7K,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),7,89786.05,2023-02-27,2025-02-25,24
AWD-001999,36C177199N942,2023-01-23,2023,17,VISN 17 Medical Center East,Network Contracting Office (NCO) 3,Horizon Enterprises,QLA9FJDNWTMZ,Small Business,SDVOSB,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Set-Aside,SDVOSB,2,999374.09,2023-01-26,2024-01-25,12
AWD-002000,36C088834V575,2023-04-18,2023,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 3,Sterling Associates,U4CRSEQ9D428,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,IDIQ,Limited Competition,Full and Open (No Set-Aside),5,171706.65,2023-04-29,2024-04-27,12
AWD-002001,36C181178N227,2025-05-12,2025,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 17,Guardian Technologies,4GX85TBU7QM5,Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,IDIQ,Full and Open,Full and Open (No Set-Aside),3,640774.35,2025-05-22,2025-11-20,6
AWD-002002,36C064144Q221,2019-05-13,2019,6,VISN 6 Medical Center Main,Network Contracting Office (NCO) 11,Pinnacle LLC,TUZKULRQXAJF,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R408,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),1,434149.86,2019-06-01,2020-05-30,12
AWD-002003,36C161880Q256,2025-10-14,2026,16,VISN 16 Medical Center North,National Acquisition Center (NAC),Vertex Associates,KZYAQQS2XA4F,Small Business,SDVOSB,Medical/Clinical Services,621111,Offices of Physicians,Q401,Firm Fixed Price,Set-Aside,SDVOSB,2,60900.87,2025-10-20,2026-10-19,12
AWD-002004,36C137806D135,2020-09-20,2020,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 5,Horizon Industries,HABFEYK35MQT,Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R408,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),2,124006.81,2020-10-05,2021-10-04,12
AWD-002005,36C167080C607,2024-01-17,2024,16,VISN 16 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Unity Inc.,A9R864L59FLB,Other Than Small Business,N/A,Food Service,311423,Dried and Dehydrated Food Mfg,F002,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),5,17494.73,2024-02-02,2027-01-31,36
AWD-002006,36C161995V574,2023-02-28,2023,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 13,Precision Solutions,JEP5X6U4CU8B,Small Business,HUBZone,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,IDIQ,Set-Aside,HUBZone,1,112067.12,2023-03-11,2026-03-09,36
AWD-002007,36C103430K762,2023-03-04,2023,10,VISN 10 Medical Center North,Denver Acquisition and Logistics Center (DALC),Atlas LLC,QAW2SU98W2EE,Other Than Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R425,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),7,108584.52,2023-03-28,2024-03-26,12
AWD-002008,36C162099D583,2023-12-24,2024,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 3,Pinnacle LLC,FEUA7K7TYL93,Small Business,SDVOSB,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Time and Materials,Set-Aside,SDVOSB,2,787535.24,2024-01-07,2026-01-05,24
AWD-002009,36C085977M348,2019-11-11,2020,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 10,Sterling Solutions,8VKHCN7ULUE9,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Cost Plus Fixed Fee,Sole Source,Full and Open (No Set-Aside),1,115789.65,2019-11-25,2020-11-23,12
AWD-002010,36C028481C178,2025-06-08,2025,2,VISN 2 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Horizon Technologies,5JHNLFKTZ9ZD,Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6505,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),1,196146.09,2025-07-02,2027-07-01,24
AWD-002011,36C028805O240,2020-07-17,2020,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 15,Atlas Associates,8DGXGN4QFCKX,Small Business,SDVOSB,IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Blanket Purchase Agreement (BPA),Set-Aside,SDVOSB,3,697270.97,2020-08-02,2021-08-01,12
AWD-002012,36C038222Q878,2024-12-08,2025,3,VISN 3 Medical Center East,Strategic Acquisition Center (SAC) - Austin,Anchor Inc.,PLNE5W45QEXS,Other Than Small Business,N/A,IT Services,541519,Other Computer Related Services,D316,Cost Plus Fixed Fee,Sole Source,Full and Open (No Set-Aside),1,894658.78,2024-12-19,2025-12-18,12
AWD-002013,36C143757I163,2023-02-12,2023,14,VISN 14 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Pinnacle LLC,JWMAW3A47Y84,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,131084.16,2023-03-09,2024-03-07,12
AWD-002014,36C116813R170,2023-06-19,2023,11,VISN 11 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Precision Group,DZQVZPQXE6E5,Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D307,Cost Plus Fixed Fee,Set-Aside,Small Business,2,444043.06,2023-06-30,2023-12-29,6
AWD-002015,36C084569W836,2022-07-11,2022,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 13,Legacy Consulting,X87UEVAS54QP,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,IDIQ,Full and Open,Full and Open (No Set-Aside),3,546285.55,2022-08-04,2024-08-02,24
AWD-002016,36C189445B787,2026-04-14,2026,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 5,Atlas Inc.,SVCLVVLCDAV6,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Firm Fixed Price,Set-Aside,Small Business,10,184603.37,2026-05-08,2029-05-06,36
AWD-002017,36C139557U396,2022-02-15,2022,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 7,Anchor Consulting,YRKGP2GRR4VQ,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D302,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),8,601109.77,2022-03-09,2026-03-07,48
AWD-002018,36C059763G905,2021-10-19,2022,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 8,Guardian Federal Services,32B27PYAW32X,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Time and Materials,Set-Aside,Full and Open (No Set-Aside),3,85415.51,2021-11-10,2022-11-09,12
AWD-002019,36C026455Y619,2020-04-09,2020,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 2,Meridian Group,NRH8HTGGN8U4,Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Labor Hour,Sole Source,Full and Open (No Set-Aside),1,855344.98,2020-05-01,2020-10-30,6
AWD-002020,36C176977B196,2019-04-17,2019,17,VISN 17 Medical Center South,Strategic Acquisition Center (SAC) - Austin,Apex LLC,JSJ72XG5A9JP,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D302,IDIQ,Full and Open,Full and Open (No Set-Aside),4,2838906.68,2019-04-19,2021-04-17,24
AWD-002021,36C156009J163,2021-02-01,2021,15,VISN 15 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Beacon LLC,2Y5KU7TWP2DQ,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,IDIQ,Full and Open,Full and Open (No Set-Aside),1,497411.27,2021-02-25,2024-02-24,36
AWD-002022,36C141965T474,2024-08-06,2024,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 10,Keystone Systems,KY5YEMCA58PN,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,IDIQ,Set-Aside,Full and Open (No Set-Aside),8,5606421.42,2024-08-23,2025-08-22,12
AWD-002023,36C098106B699,2024-10-21,2025,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 3,Vanguard Federal Services,NFJXLHCQ9XKK,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q201,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),2,270139.85,2024-10-25,2027-10-24,36
AWD-002024,36C117442B673,2023-05-05,2023,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 10,Pinnacle Inc.,5GZZMSZKEQTF,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6515,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),3,488500.92,2023-05-09,2023-11-07,6
AWD-002025,36C048629V441,2025-04-19,2025,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 3,Vanguard Federal Services,LDKFZG44M2YF,Other Than Small Business,N/A,Food Service,311423,Dried and Dehydrated Food Mfg,F002,IDIQ,Limited Competition,Full and Open (No Set-Aside),5,1215470.81,2025-04-19,2027-04-18,24
AWD-002026,36C174852E118,2020-04-27,2020,17,VISN 17 Medical Center North,Network Contracting Office (NCO) 13,Atlas Solutions,SAAUWHKBVSDA,Small Business,N/A,Facilities Management,561720,Janitorial Services,S201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,87628.13,2020-05-03,2021-05-02,12
AWD-002027,36C177562L144,2021-12-08,2022,17,VISN 17 Medical Center West,Network Contracting Office (NCO) 3,Precision Federal Services,JTGSFXRD2M7A,Small Business,SDVOSB,Facilities Management,561210,Facilities Support Services,S201,Firm Fixed Price,Set-Aside,SDVOSB,3,823196.41,2021-12-28,2023-12-27,24
AWD-002028,36C061242K115,2021-12-02,2022,6,VISN 6 Medical Center North,Network Contracting Office (NCO) 17,Pinnacle Consulting,DAACHJYM5D8G,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D302,Cost Plus Fixed Fee,Full and Open,Full and Open (No Set-Aside),1,912620.25,2021-12-23,2023-12-22,24
AWD-002029,36C072776J649,2024-01-02,2024,7,VISN 7 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Legacy LLC,TAJHYG786KY5,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,Cost Plus Fixed Fee,Sole Source,Full and Open (No Set-Aside),1,89204.38,2024-01-23,2026-01-21,24
AWD-002030,36C149758P695,2021-05-28,2021,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 9,Vertex Industries,NM3NZ5N8TXXQ,Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6520,IDIQ,Set-Aside,Small Business,6,1237260.84,2021-06-13,2024-06-11,36
AWD-002031,36C135845D829,2025-11-11,2026,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 1,Cornerstone Partners,VN5AWY82M26W,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,117843.37,2025-12-04,2026-12-03,12
AWD-002032,36C074693V512,2022-03-15,2022,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 3,Pinnacle Group,9AX26QABFHM6,Other Than Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,IDIQ,Full and Open,Full and Open (No Set-Aside),5,7575122.3,2022-03-17,2023-03-16,12
AWD-002033,36C055569X679,2024-07-04,2024,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 12,Legacy Federal Services,5G7WTH6HMGCE,Small Business,SDVOSB,IT Services,541519,Other Computer Related Services,D316,Blanket Purchase Agreement (BPA),Set-Aside,SDVOSB,7,204317.97,2024-07-27,2026-07-26,24
AWD-002034,36C146678L899,2021-03-30,2021,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 15,Anchor Inc.,QU4QUBM8ZZ8J,Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,IDIQ,Limited Competition,Full and Open (No Set-Aside),7,815972.07,2021-04-27,2022-04-26,12
AWD-002035,36C051924B160,2020-05-17,2020,5,VISN 5 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Sterling Partners,U52K2PRWVHCQ,Other Than Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6508,Cost Plus Fixed Fee,Full and Open,Full and Open (No Set-Aside),8,1609585.39,2020-05-29,2021-05-28,12
AWD-002036,36C185723X120,2020-07-09,2020,18,VISN 18 Medical Center North,Denver Acquisition and Logistics Center (DALC),Patriot Solutions,A6CQKFW8U2UR,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),4,657978.94,2020-07-15,2024-07-13,48
AWD-002037,36C118285C535,2019-10-31,2020,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 18,Guardian LLC,X9WULZK23WNL,Small Business,N/A,IT Services,541519,Other Computer Related Services,D302,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,429763.7,2019-11-20,2021-11-18,24
AWD-002038,36C123236Q788,2024-01-26,2024,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 8,Vanguard Industries,KAM8JPSY7WTM,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Firm Fixed Price,Set-Aside,Small Business,3,633313.39,2024-02-25,2025-02-23,12
AWD-002039,36C068343L535,2020-12-08,2021,6,VISN 6 Medical Center Main,Network Contracting Office (NCO) 9,Keystone Industries,53YZTDUFG6GL,Other Than Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,3827073.25,2020-12-21,2022-12-20,24
AWD-002040,36C189086X699,2023-12-29,2024,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 15,Vanguard LLC,YVLXWVJCJZ6L,Other Than Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q401,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),3,60232.67,2024-01-03,2026-01-01,24
AWD-002041,36C119263Q124,2019-12-26,2020,11,VISN 11 Medical Center North,Denver Acquisition and Logistics Center (DALC),Liberty LLC,999KF76V85MY,Small Business,SDVOSB,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6505,Firm Fixed Price,Set-Aside,SDVOSB,2,351874.98,2020-01-12,2023-01-10,36
AWD-002042,36C064059W750,2022-08-02,2022,6,VISN 6 Medical Center North,Network Contracting Office (NCO) 16,Pinnacle Associates,GXNUST3KKFJD,Small Business,N/A,IT Services,541512,Computer Systems Design Services,D307,Firm Fixed Price,Set-Aside,Small Business,4,1270132.53,2022-08-17,2025-08-15,36
AWD-002043,36C155148D641,2026-06-28,2026,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 9,Sterling LLC,2C2K6H2L3X3R,Small Business,8(a),IT Services,541519,Other Computer Related Services,D316,Time and Materials,Set-Aside,8(a),3,878830.92,2026-07-08,2027-01-06,6
AWD-002044,36C044993U479,2022-11-24,2023,4,VISN 4 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Guardian Enterprises,JY47YPUHUFT3,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),5,455404.94,2022-12-05,2024-12-03,24
